sample,code,bid,ask,half_spread_bps
7,HK.00700,441.6,441.8,2.263980076975194
7,HK.00005,158.0,158.1,3.163555836760339
7,HK.09988,111.4,111.5,4.4863167339611625
7,HK.03690,73.2,73.25,3.414134516899772
7,HK.01299,75.65,75.75,6.605019815059069
7,HK.00941,78.9,78.95,3.1675641431737187
7,HK.02318,53.35,53.4,4.683840749414253
7,HK.01211,80.6,80.65,3.1007751937991546
7,HK.01810,26.72,26.74,3.741114852225884
7,HK.09618,105.7,105.8,4.728132387706587
7,HK.09888,89.0,89.05,2.808199943835841
7,HK.01398,7.5,7.505,3.332222592469106
7,HK.00939,9.61,9.615,2.6007802340706276
7,HK.00883,23.52,23.54,4.249893752656093
7,HK.00016,108.8,108.9,4.593477262287943
7,HK.00027,31.92,31.94,3.1318509238959558
7,HK.00388,395.2,395.6,5.058168942843123
7,HK.02020,72.0,72.05,3.471017007983142
7,HK.09999,182.9,183.0,2.7329871549602163
8,HK.00700,441.0,441.2,2.2670596236679734
8,HK.00005,157.8,157.9,3.1675641431737187
8,HK.09988,111.1,111.2,4.4984255510575135
8,HK.03690,73.15,73.2,3.416467372736396
8,HK.01299,75.8,75.9,6.591957811470569
8,HK.00941,78.9,78.95,3.1675641431737187
8,HK.02318,53.4,53.45,4.679457182967175
8,HK.01211,80.65,80.7,3.0988534242328574
8,HK.01810,26.7,26.72,3.743916136278467
8,HK.09618,105.6,105.7,4.732607666824824
8,HK.09888,89.05,89.15,5.611672278339424
8,HK.01398,7.5,7.505,3.332222592469106
8,HK.00939,9.61,9.615,2.6007802340706276
8,HK.00883,23.52,23.56,8.496176720475605
8,HK.00016,109.0,109.1,4.585052728106113
8,HK.00027,31.94,31.96,3.129890453834049
8,HK.00388,395.4,395.6,2.5284450063216877
8,HK.02020,71.8,71.85,3.480682213713691
8,HK.09999,182.5,182.6,2.7389756231167985
9,HK.00700,442.0,442.2,2.2619316896628434
9,HK.00005,157.9,158.0,3.165558721114097
9,HK.09988,111.2,111.3,4.494382022471655
9,HK.03690,73.1,73.15,3.4188034188041962
9,HK.01299,75.75,75.8,3.2992411745296706
9,HK.00941,78.9,78.95,3.1675641431737187
9,HK.02318,53.4,53.45,4.679457182967175
9,HK.01211,80.7,80.75,3.0969340353048724
9,HK.01810,26.72,26.74,3.741114852225884
9,HK.09618,105.7,105.8,4.728132387706587
9,HK.09888,89.15,89.2,2.8034763106250153
9,HK.01398,7.505,7.51,3.330003330003259
9,HK.00939,9.605,9.61,2.6021337496742154
9,HK.00883,23.5,23.52,4.253509145044571
9,HK.00016,108.9,109.0,4.589261128957976
9,HK.00027,31.96,31.98,3.1279324366593015
9,HK.00388,395.4,395.6,2.5284450063216877
9,HK.02020,72.0,72.05,3.471017007983142
9,HK.09999,183.1,183.3,5.458515283843261
10,HK.00700,440.8,441.0,2.2680880018143417
10,HK.00005,157.9,158.0,3.165558721114097
10,HK.09988,111.3,111.4,4.490345756623643
10,HK.03690,73.2,73.25,3.414134516899772
10,HK.01299,75.8,75.9,6.591957811470569
10,HK.00941,78.9,78.95,3.1675641431737187
10,HK.02318,53.4,53.45,4.679457182967175
10,HK.01211,80.45,80.5,3.1065548306925854
10,HK.01810,26.6,26.62,3.7579857196541853
10,HK.09618,105.9,106.0,4.7192071731946355
10,HK.09888,89.15,89.2,2.8034763106250153
10,HK.01398,7.52,7.525,3.3233632436030454
10,HK.00939,9.63,9.635,2.595380223202183
10,HK.00883,23.5,23.52,4.253509145044571
10,HK.00016,108.9,109.0,4.589261128957976
10,HK.00027,31.96,31.98,3.1279324366593015
10,HK.00388,395.4,395.6,2.5284450063216877
10,HK.02020,72.0,72.05,3.471017007983142
10,HK.09999,182.9,183.0,2.7329871549602163
11,HK.00700,440.4,440.8,4.539264639128848
11,HK.00005,158.1,158.2,3.161555485298588
11,HK.09988,111.3,111.4,4.490345756623643
11,HK.03690,73.1,73.15,3.4188034188041962
11,HK.01299,75.75,75.85,6.5963060686012085
11,HK.00941,79.0,79.05,3.163555836760339
11,HK.02318,53.4,53.45,4.679457182967175
11,HK.01211,80.4,80.45,3.108486167236379
11,HK.01810,26.6,26.62,3.7579857196541853
11,HK.09618,106.0,106.1,4.714757190004447
11,HK.09888,89.2,89.25,2.8019052956008497
11,HK.01398,7.515,7.52,3.3255736614565308
11,HK.00939,9.635,9.64,2.5940337224387973
11,HK.00883,23.5,23.52,4.253509145044571
11,HK.00016,108.9,109.0,4.589261128957976
11,HK.00027,31.94,31.96,3.129890453834049
11,HK.00388,395.6,395.8,2.52716704574158
11,HK.02020,72.15,72.2,3.4638032559748635
11,HK.09999,183.2,183.3,2.7285129604371825
12,HK.00700,441.0,441.2,2.2670596236679734
12,HK.00005,158.1,158.2,3.161555485298588
12,HK.09988,111.3,111.4,4.490345756623643
12,HK.03690,73.15,73.2,3.416467372736396
12,HK.01299,75.9,75.95,3.292723081988617
12,HK.00941,78.95,79.0,3.165558721114097
12,HK.02318,53.45,53.5,4.675081813931478
12,HK.01211,80.7,80.75,3.0969340353048724
12,HK.01810,26.52,26.54,3.769317753486538
12,HK.09618,106.1,106.2,4.710315591145008
12,HK.09888,89.4,89.45,2.795638803466433
12,HK.01398,7.515,7.52,3.3255736614565308
12,HK.00939,9.635,9.64,2.5940337224387973
12,HK.00883,23.52,23.54,4.249893752656093
12,HK.00016,108.9,109.0,4.589261128957976
12,HK.00027,31.96,31.98,3.1279324366593015
12,HK.00388,395.6,395.8,2.52716704574158
12,HK.02020,72.2,72.25,3.4614053305640127
12,HK.09999,183.4,183.5,2.725538293812873
