strategy,symbol,timeframe,window,train_start,test_start,best_params,train_return_pct,test_return_pct,test_sharpe,test_trades,test_max_dd
Z-Score Mean Reversion,HK.09618,5m,1,2026-01-08,2026-02-19,"{'lookback': 67, 'entry_z': 3.2, 'exit_z': 0.0}",0.168,0.021,0.513,6,0.252
Z-Score Mean Reversion,HK.09618,5m,2,2026-03-09,2026-04-20,"{'lookback': 95, 'entry_z': 2.8, 'exit_z': 0.0}",0.625,-0.058,-1.223,4,0.37
Z-Score Mean Reversion,HK.09618,5m,3,2026-05-08,2026-06-19,"{'lookback': 19, 'entry_z': 3.2, 'exit_z': 0.0}",0.539,-0.432,-8.414,6,0.539
RSI,HK.09618,5m,1,2026-01-08,2026-02-19,"{'rsi_period': 24, 'oversold': 18, 'overbought': 63}",0.054,-0.133,-3.641,6,0.262
RSI,HK.09618,5m,2,2026-03-09,2026-04-20,"{'rsi_period': 31, 'oversold': 36, 'overbought': 66}",1.507,-0.062,-0.746,9,0.429
RSI,HK.09618,5m,3,2026-05-08,2026-06-19,"{'rsi_period': 21, 'oversold': 12, 'overbought': 78}",0.444,-0.342,-3.134,2,0.695
Bollinger Bands,HK.09618,5m,1,2026-01-08,2026-02-19,"{'bb_period': 6, 'num_std': 2.5}",0.104,0.0,0.0,0,0.0
Bollinger Bands,HK.09618,5m,2,2026-03-09,2026-04-20,"{'bb_period': 6, 'num_std': 2.5}",1.158,0.0,0.0,0,0.0
Bollinger Bands,HK.09618,5m,3,2026-05-08,2026-06-19,"{'bb_period': 8, 'num_std': 2.5}",-0.344,-0.366,-3.124,4,0.885
SMA Crossover,HK.09618,5m,1,2026-01-08,2026-02-19,"{'fast_period': 47, 'slow_period': 113}",-0.093,0.211,0.912,9,0.695
SMA Crossover,HK.09618,5m,2,2026-03-09,2026-04-20,"{'fast_period': 22, 'slow_period': 21}",2.1,-0.406,-3.077,1,0.889
SMA Crossover,HK.09618,5m,3,2026-05-08,2026-06-19,"{'fast_period': 42, 'slow_period': 85}",0.247,-0.193,-2.418,5,0.617
MACD,HK.09618,5m,1,2026-01-08,2026-02-19,"{'fast_ema': 44, 'slow_ema': 86, 'signal_period': 10}",-2.478,-0.325,-2.375,15,0.709
MACD,HK.09618,5m,2,2026-03-09,2026-04-20,"{'fast_ema': 47, 'slow_ema': 80, 'signal_period': 19}",1.514,-0.64,-6.394,15,0.754
MACD,HK.09618,5m,3,2026-05-08,2026-06-19,"{'fast_ema': 41, 'slow_ema': 91, 'signal_period': 30}",-1.125,0.303,1.883,13,0.671
Z-Score Mean Reversion,HK.09618,1h,1,2025-07-09,2025-09-10,"{'lookback': 82, 'entry_z': 1.7, 'exit_z': 0.0}",1.881,0.0,0.0,0,0.0
Z-Score Mean Reversion,HK.09618,1h,2,2025-10-08,2025-12-10,"{'lookback': 12, 'entry_z': 2.7, 'exit_z': 0.0}",0.513,0.105,2.743,2,0.112
Z-Score Mean Reversion,HK.09618,1h,3,2026-01-07,2026-03-11,"{'lookback': 10, 'entry_z': 2.9, 'exit_z': 0.0}",0.129,0.0,0.0,0,0.0
Z-Score Mean Reversion,HK.09618,1h,4,2026-04-08,2026-06-10,"{'lookback': 65, 'entry_z': 2.2, 'exit_z': 0.0}",0.378,0.0,0.0,0,0.0
RSI,HK.09618,1h,1,2025-07-09,2025-09-10,"{'rsi_period': 19, 'oversold': 13, 'overbought': 90}",1.689,0.0,0.0,0,0.0
RSI,HK.09618,1h,2,2025-10-08,2025-12-10,"{'rsi_period': 34, 'oversold': 19, 'overbought': 60}",0.604,0.0,0.0,0,0.0
RSI,HK.09618,1h,3,2026-01-07,2026-03-11,"{'rsi_period': 25, 'oversold': 25, 'overbought': 60}",1.303,0.0,0.0,0,0.0
RSI,HK.09618,1h,4,2026-04-08,2026-06-10,"{'rsi_period': 13, 'oversold': 10, 'overbought': 69}",0.271,0.0,0.0,0,0.0
Bollinger Bands,HK.09618,1h,1,2025-07-09,2025-09-10,"{'bb_period': 6, 'num_std': 2.0}",1.914,-0.247,-1.105,5,0.808
Bollinger Bands,HK.09618,1h,2,2025-10-08,2025-12-10,"{'bb_period': 10, 'num_std': 2.5}",0.605,0.284,4.494,2,0.13
Bollinger Bands,HK.09618,1h,3,2026-01-07,2026-03-11,"{'bb_period': 28, 'num_std': 3.0}",0.75,0.819,3.872,1,0.45
