strategy,symbol,timeframe,window,train_start,test_start,best_params,train_return_pct,test_return_pct,test_sharpe,test_trades,test_max_dd
Z-Score Mean Reversion,HK.01211,5m,1,2026-01-08,2026-02-19,"{'lookback': 37, 'entry_z': 1.4, 'exit_z': 0.0}",-0.193,-0.592,-4.519,19,0.968
Z-Score Mean Reversion,HK.01211,5m,2,2026-03-09,2026-04-20,"{'lookback': 25, 'entry_z': 2.6, 'exit_z': 0.0}",0.85,-0.421,-4.673,18,0.526
Z-Score Mean Reversion,HK.01211,5m,3,2026-05-08,2026-06-19,"{'lookback': 89, 'entry_z': 3.4, 'exit_z': 0.0}",0.219,-0.066,-2.082,2,0.166
RSI,HK.01211,5m,1,2026-01-08,2026-02-19,"{'rsi_period': 34, 'oversold': 11, 'overbought': 75}",0.93,0.0,0.0,0,0.0
RSI,HK.01211,5m,2,2026-03-09,2026-04-20,"{'rsi_period': 23, 'oversold': 26, 'overbought': 72}",1.601,-1.243,-10.054,5,1.428
RSI,HK.01211,5m,3,2026-05-08,2026-06-19,"{'rsi_period': 30, 'oversold': 14, 'overbought': 63}",0.21,0.0,0.0,0,0.0
Bollinger Bands,HK.01211,5m,1,2026-01-08,2026-02-19,"{'bb_period': 5, 'num_std': 2.0}",0.327,-0.296,-1.586,1,0.964
Bollinger Bands,HK.01211,5m,2,2026-03-09,2026-04-20,"{'bb_period': 20, 'num_std': 2.5}",1.555,-0.516,-4.585,10,0.799
Bollinger Bands,HK.01211,5m,3,2026-05-08,2026-06-19,"{'bb_period': 11, 'num_std': 3.0}",-0.015,-0.022,-0.158,2,0.615
SMA Crossover,HK.01211,5m,1,2026-01-08,2026-02-19,"{'fast_period': 50, 'slow_period': 101}",0.668,-0.316,-2.063,7,0.785
SMA Crossover,HK.01211,5m,2,2026-03-09,2026-04-20,"{'fast_period': 22, 'slow_period': 21}",1.06,-1.078,-4.097,1,1.225
SMA Crossover,HK.01211,5m,3,2026-05-08,2026-06-19,"{'fast_period': 39, 'slow_period': 193}",-0.233,0.247,1.783,5,0.418
MACD,HK.01211,5m,1,2026-01-08,2026-02-19,"{'fast_ema': 48, 'slow_ema': 100, 'signal_period': 30}",-0.481,0.245,1.605,8,0.577
MACD,HK.01211,5m,2,2026-03-09,2026-04-20,"{'fast_ema': 33, 'slow_ema': 62, 'signal_period': 19}",0.836,-0.822,-5.245,26,0.919
MACD,HK.01211,5m,3,2026-05-08,2026-06-19,"{'fast_ema': 48, 'slow_ema': 56, 'signal_period': 14}",-0.837,-0.086,-0.529,19,0.539
Z-Score Mean Reversion,HK.01211,1h,1,2025-07-09,2025-09-10,"{'lookback': 13, 'entry_z': 2.6, 'exit_z': 0.0}",0.117,0.0,0.0,0,0.0
Z-Score Mean Reversion,HK.01211,1h,2,2025-10-08,2025-12-10,"{'lookback': 93, 'entry_z': 3.0, 'exit_z': 0.0}",0.694,0.0,0.0,0,0.0
Z-Score Mean Reversion,HK.01211,1h,3,2026-01-07,2026-03-11,"{'lookback': 50, 'entry_z': 2.5, 'exit_z': 0.0}",1.031,0.0,0.0,0,0.0
Z-Score Mean Reversion,HK.01211,1h,4,2026-04-08,2026-06-10,"{'lookback': 62, 'entry_z': 2.5, 'exit_z': 0.0}",1.022,0.0,0.0,0,0.0
RSI,HK.01211,1h,1,2025-07-09,2025-09-10,"{'rsi_period': 15, 'oversold': 16, 'overbought': 78}",0.431,0.0,0.0,0,0.0
RSI,HK.01211,1h,2,2025-10-08,2025-12-10,"{'rsi_period': 37, 'oversold': 32, 'overbought': 66}",1.463,0.045,0.218,1,0.522
RSI,HK.01211,1h,3,2026-01-07,2026-03-11,"{'rsi_period': 11, 'oversold': 11, 'overbought': 81}",1.913,0.0,0.0,0,0.0
RSI,HK.01211,1h,4,2026-04-08,2026-06-10,"{'rsi_period': 28, 'oversold': 23, 'overbought': 60}",0.089,0.487,2.164,2,0.684
Bollinger Bands,HK.01211,1h,1,2025-07-09,2025-09-10,"{'bb_period': 43, 'num_std': 2.5}",-0.251,0.0,0.0,0,0.0
Bollinger Bands,HK.01211,1h,2,2025-10-08,2025-12-10,"{'bb_period': 19, 'num_std': 2.5}",0.432,0.419,2.612,2,0.215
Bollinger Bands,HK.01211,1h,3,2026-01-07,2026-03-11,"{'bb_period': 34, 'num_std': 2.5}",0.966,0.179,1.466,1,0.259
Bollinger Bands,HK.01211,1h,4,2026-04-08,2026-06-10,"{'bb_period': 25, 'num_std': 1.5}",0.037,-0.344,-1.526,2,1.045
SMA Crossover,HK.01211,1h,1,2025-07-09,2025-09-10,"{'fast_period': 28, 'slow_period': 93}",-0.137,0.0,0.0,0,0.0
SMA Crossover,HK.01211,1h,2,2025-10-08,2025-12-10,"{'fast_period': 24, 'slow_period': 157}",-0.03,0.0,0.0,0,0.0
SMA Crossover,HK.01211,1h,3,2026-01-07,2026-03-11,"{'fast_period': 22, 'slow_period': 21}",0.135,-0.012,-0.037,1,0.508
SMA Crossover,HK.01211,1h,4,2026-04-08,2026-06-10,"{'fast_period': 41, 'slow_period': 89}",0.063,0.057,3.742,1,0.045
MACD,HK.01211,1h,1,2025-07-09,2025-09-10,"{'fast_ema': 25, 'slow_ema': 33, 'signal_period': 8}",0.539,-0.034,-0.152,5,0.668
MACD,HK.01211,1h,2,2025-10-08,2025-12-10,"{'fast_ema': 18, 'slow_ema': 91, 'signal_period': 3}",0.647,0.0,0.0,0,0.0
MACD,HK.01211,1h,3,2026-01-07,2026-03-11,"{'fast_ema': 3, 'slow_ema': 97, 'signal_period': 8}",0.748,0.0,0.0,0,0.0
MACD,HK.01211,1h,4,2026-04-08,2026-06-10,"{'fast_ema': 14, 'slow_ema': 98, 'signal_period': 20}",-0.45,0.0,0.0,0,0.0
