symbol,windows,always_rule_oos,always_hmm_oos,selector_oos,selector_beats_both
HK.00700,4,-0.161,-0.44,-0.161,False
HK.00005,4,-0.004,-0.023,-0.004,False
HK.09988,4,-0.281,-0.024,-0.281,False
HK.03690,4,-0.125,-0.109,-0.099,True
HK.01299,4,-0.173,0.01,-0.173,False
HK.00941,4,-0.013,0.0,-0.013,False
HK.02318,4,0.007,0.053,0.007,False
HK.01211,4,-0.04,-0.1,-0.115,False
HK.01810,4,-0.046,-0.019,-0.044,False
HK.09618,4,0.062,0.141,0.141,False
HK.09888,4,-0.034,-0.098,-0.102,False
