strategy,symbol,timeframe,window,train_start,test_start,best_params,train_return_pct,test_return_pct,test_sharpe,test_trades,test_max_dd
Z-Score Mean Reversion,HK.03690,1h,3,2026-01-07,2026-03-11,"{'lookback': 11, 'entry_z': 2.8, 'exit_z': 0.0}",0.029,0.0,0.0,0,0.0
Z-Score Mean Reversion,HK.03690,1h,4,2026-04-08,2026-06-10,"{'lookback': 53, 'entry_z': 2.2, 'exit_z': 0.0}",1.392,0.661,4.853,2,0.245
RSI,HK.03690,1h,1,2025-07-09,2025-09-10,"{'rsi_period': 11, 'oversold': 11, 'overbought': 81}",0.069,0.0,0.0,0,0.0
RSI,HK.03690,1h,2,2025-10-08,2025-12-10,"{'rsi_period': 25, 'oversold': 25, 'overbought': 60}",1.122,0.0,0.0,0,0.0
RSI,HK.03690,1h,3,2026-01-07,2026-03-11,"{'rsi_period': 34, 'oversold': 19, 'overbought': 60}",0.164,0.0,0.0,0,0.0
RSI,HK.03690,1h,4,2026-04-08,2026-06-10,"{'rsi_period': 17, 'oversold': 15, 'overbought': 66}",0.808,-0.08,-0.458,2,0.85
Bollinger Bands,HK.03690,1h,1,2025-07-09,2025-09-10,"{'bb_period': 26, 'num_std': 1.5}",-0.222,0.435,4.553,3,0.289
Bollinger Bands,HK.03690,1h,2,2025-10-08,2025-12-10,"{'bb_period': 32, 'num_std': 2.5}",1.482,0.0,0.0,0,0.0
Bollinger Bands,HK.03690,1h,3,2026-01-07,2026-03-11,"{'bb_period': 8, 'num_std': 2.5}",0.029,0.0,0.0,0,0.0
Bollinger Bands,HK.03690,1h,4,2026-04-08,2026-06-10,"{'bb_period': 12, 'num_std': 2.5}",1.26,-0.371,-1.994,2,1.116
SMA Crossover,HK.03690,1h,1,2025-07-09,2025-09-10,"{'fast_period': 2, 'slow_period': 5}",0.615,0.16,0.798,21,1.04
SMA Crossover,HK.03690,1h,2,2025-10-08,2025-12-10,"{'fast_period': 45, 'slow_period': 121}",0.254,0.0,0.0,0,0.0
SMA Crossover,HK.03690,1h,3,2026-01-07,2026-03-11,"{'fast_period': 12, 'slow_period': 13}",-0.641,0.62,2.2,11,0.452
SMA Crossover,HK.03690,1h,4,2026-04-08,2026-06-10,"{'fast_period': 34, 'slow_period': 165}",0.06,0.0,0.0,0,0.0
MACD,HK.03690,1h,1,2025-07-09,2025-09-10,"{'fast_ema': 2, 'slow_ema': 99, 'signal_period': 5}",-0.552,-0.117,-4.431,3,0.117
MACD,HK.03690,1h,2,2025-10-08,2025-12-10,"{'fast_ema': 27, 'slow_ema': 29, 'signal_period': 14}",0.331,-0.224,-3.237,2,0.371
MACD,HK.03690,1h,3,2026-01-07,2026-03-11,"{'fast_ema': 48, 'slow_ema': 100, 'signal_period': 30}",-0.156,0.0,0.0,0,0.0
MACD,HK.03690,1h,4,2026-04-08,2026-06-10,"{'fast_ema': 4, 'slow_ema': 95, 'signal_period': 11}",-0.153,0.0,0.0,0,0.0
