strategy,symbol,timeframe,window,train_start,test_start,best_params,train_return_pct,test_return_pct,test_sharpe,test_trades,test_max_dd
Z-Score Mean Reversion,HK.09988,5m,1,2026-01-08,2026-02-19,"{'lookback': 69, 'entry_z': 3.0, 'exit_z': 0.0}",0.611,-0.501,-3.449,12,0.948
Z-Score Mean Reversion,HK.09988,5m,2,2026-03-09,2026-04-20,"{'lookback': 89, 'entry_z': 3.4, 'exit_z': 0.0}",0.19,-0.225,-7.374,2,0.52
Z-Score Mean Reversion,HK.09988,5m,3,2026-05-08,2026-06-19,"{'lookback': 77, 'entry_z': 3.4, 'exit_z': 0.0}",0.258,-0.43,-3.104,2,0.785
RSI,HK.09988,5m,1,2026-01-08,2026-02-19,"{'rsi_period': 16, 'oversold': 23, 'overbought': 75}",2.291,-1.283,-5.03,10,2.256
RSI,HK.09988,5m,2,2026-03-09,2026-04-20,"{'rsi_period': 29, 'oversold': 22, 'overbought': 72}",1.405,0.823,5.881,8,0.52
RSI,HK.09988,5m,3,2026-05-08,2026-06-19,"{'rsi_period': 34, 'oversold': 19, 'overbought': 60}",0.053,-0.197,-1.333,4,0.719
Bollinger Bands,HK.09988,5m,1,2026-01-08,2026-02-19,"{'bb_period': 25, 'num_std': 2.5}",1.078,-0.801,-3.425,12,1.237
Bollinger Bands,HK.09988,5m,2,2026-03-09,2026-04-20,"{'bb_period': 5, 'num_std': 2.0}",0.924,0.783,2.782,1,0.748
Bollinger Bands,HK.09988,5m,3,2026-05-08,2026-06-19,"{'bb_period': 37, 'num_std': 3.0}",-0.821,0.279,1.684,8,0.784
SMA Crossover,HK.09988,5m,1,2026-01-08,2026-02-19,"{'fast_period': 34, 'slow_period': 165}",0.365,-0.741,-6.234,3,0.901
SMA Crossover,HK.09988,5m,2,2026-03-09,2026-04-20,"{'fast_period': 22, 'slow_period': 21}",0.553,0.222,0.671,1,1.169
SMA Crossover,HK.09988,5m,3,2026-05-08,2026-06-19,"{'fast_period': 43, 'slow_period': 81}",-0.116,-1.151,-11.376,11,1.184
MACD,HK.09988,5m,1,2026-01-08,2026-02-19,"{'fast_ema': 19, 'slow_ema': 22, 'signal_period': 11}",-1.957,-1.278,-6.946,42,2.158
MACD,HK.09988,5m,2,2026-03-09,2026-04-20,"{'fast_ema': 42, 'slow_ema': 45, 'signal_period': 17}",1.03,0.28,1.275,16,1.032
MACD,HK.09988,5m,3,2026-05-08,2026-06-19,"{'fast_ema': 42, 'slow_ema': 45, 'signal_period': 17}",-0.505,-0.339,-1.906,17,0.779
Z-Score Mean Reversion,HK.09988,1h,1,2025-07-09,2025-09-10,"{'lookback': 49, 'entry_z': 1.4, 'exit_z': 0.0}",1.081,0.0,0.0,0,0.0
Z-Score Mean Reversion,HK.09988,1h,2,2025-10-08,2025-12-10,"{'lookback': 37, 'entry_z': 1.4, 'exit_z': 0.0}",2.627,0.209,1.845,2,0.28
Z-Score Mean Reversion,HK.09988,1h,3,2026-01-07,2026-03-11,"{'lookback': 6, 'entry_z': 2.1, 'exit_z': 0.0}",0.428,-0.47,-3.38,6,0.736
Z-Score Mean Reversion,HK.09988,1h,4,2026-04-08,2026-06-10,"{'lookback': 25, 'entry_z': 2.6, 'exit_z': 0.0}",0.581,-0.777,-2.978,2,1.588
RSI,HK.09988,1h,1,2025-07-09,2025-09-10,"{'rsi_period': 25, 'oversold': 40, 'overbought': 66}",4.58,0.0,0.0,0,0.0
RSI,HK.09988,1h,2,2025-10-08,2025-12-10,"{'rsi_period': 44, 'oversold': 35, 'overbought': 63}",1.741,0.0,0.0,0,0.0
RSI,HK.09988,1h,3,2026-01-07,2026-03-11,"{'rsi_period': 24, 'oversold': 18, 'overbought': 63}",0.686,0.0,0.0,0,0.0
RSI,HK.09988,1h,4,2026-04-08,2026-06-10,"{'rsi_period': 14, 'oversold': 17, 'overbought': 66}",1.039,-0.777,-2.978,2,1.588
Bollinger Bands,HK.09988,1h,1,2025-07-09,2025-09-10,"{'bb_period': 20, 'num_std': 2.0}",4.062,-0.127,-2.799,1,0.227
Bollinger Bands,HK.09988,1h,2,2025-10-08,2025-12-10,"{'bb_period': 24, 'num_std': 1.5}",3.386,0.608,3.032,5,0.29
Bollinger Bands,HK.09988,1h,3,2026-01-07,2026-03-11,"{'bb_period': 13, 'num_std': 3.0}",-0.579,0.395,1.358,1,0.607
Bollinger Bands,HK.09988,1h,4,2026-04-08,2026-06-10,"{'bb_period': 29, 'num_std': 2.5}",1.314,-0.522,-1.936,2,1.588
