strategy,symbol,timeframe,window,train_start,test_start,best_params,train_return_pct,test_return_pct,test_sharpe,test_trades,test_max_dd
Z-Score Mean Reversion,HK.01810,5m,1,2026-01-08,2026-02-19,"{'lookback': 89, 'entry_z': 3.4, 'exit_z': 0.0}",0.051,-0.172,-4.054,2,0.251
Z-Score Mean Reversion,HK.01810,5m,2,2026-03-09,2026-04-20,"{'lookback': 89, 'entry_z': 3.4, 'exit_z': 0.0}",0.117,-0.018,-0.451,6,0.166
Z-Score Mean Reversion,HK.01810,5m,3,2026-05-08,2026-06-19,"{'lookback': 10, 'entry_z': 2.9, 'exit_z': 0.0}",0.023,-0.062,-5.938,6,0.077
RSI,HK.01810,5m,1,2026-01-08,2026-02-19,"{'rsi_period': 27, 'oversold': 16, 'overbought': 63}",0.068,0.018,4.583,2,0.023
RSI,HK.01810,5m,2,2026-03-09,2026-04-20,"{'rsi_period': 33, 'oversold': 19, 'overbought': 84}",0.185,0.076,1.181,1,0.246
RSI,HK.01810,5m,3,2026-05-08,2026-06-19,"{'rsi_period': 33, 'oversold': 12, 'overbought': 63}",0.037,0.0,0.0,0,0.0
Bollinger Bands,HK.01810,5m,1,2026-01-08,2026-02-19,"{'bb_period': 13, 'num_std': 3.0}",0.197,-0.274,-4.822,4,0.492
Bollinger Bands,HK.01810,5m,2,2026-03-09,2026-04-20,"{'bb_period': 5, 'num_std': 2.0}",0.151,-0.021,-0.337,2,0.242
Bollinger Bands,HK.01810,5m,3,2026-05-08,2026-06-19,"{'bb_period': 14, 'num_std': 3.0}",-0.043,-0.017,-0.573,4,0.13
SMA Crossover,HK.01810,5m,1,2026-01-08,2026-02-19,"{'fast_period': 29, 'slow_period': 185}",0.131,0.059,1.833,1,0.128
SMA Crossover,HK.01810,5m,2,2026-03-09,2026-04-20,"{'fast_period': 14, 'slow_period': 53}",0.112,0.003,0.067,21,0.227
SMA Crossover,HK.01810,5m,3,2026-05-08,2026-06-19,"{'fast_period': 40, 'slow_period': 141}",-0.181,-0.121,-4.381,7,0.215
MACD,HK.01810,5m,1,2026-01-08,2026-02-19,"{'fast_ema': 50, 'slow_ema': 74, 'signal_period': 28}",-0.127,-0.063,-2.046,10,0.158
MACD,HK.01810,5m,2,2026-03-09,2026-04-20,"{'fast_ema': 47, 'slow_ema': 13, 'signal_period': 24}",0.333,-0.05,-0.836,23,0.29
