strategy,symbol,timeframe,window,train_start,test_start,best_params,train_return_pct,test_return_pct,test_sharpe,test_trades,test_max_dd
MACD,HK.01810,5m,3,2026-05-08,2026-06-19,"{'fast_ema': 48, 'slow_ema': 100, 'signal_period': 30}",-0.541,-0.134,-3.605,13,0.22
Z-Score Mean Reversion,HK.01810,1h,1,2025-07-09,2025-09-10,"{'lookback': 6, 'entry_z': 2.1, 'exit_z': 0.0}",0.024,0.0,0.0,0,0.0
Z-Score Mean Reversion,HK.01810,1h,2,2025-10-08,2025-12-10,"{'lookback': 90, 'entry_z': 3.3, 'exit_z': 0.0}",0.345,0.0,0.0,0,0.0
Z-Score Mean Reversion,HK.01810,1h,3,2026-01-07,2026-03-11,"{'lookback': 67, 'entry_z': 2.0, 'exit_z': 0.0}",0.356,0.0,0.0,0,0.0
Z-Score Mean Reversion,HK.01810,1h,4,2026-04-08,2026-06-10,"{'lookback': 71, 'entry_z': 2.8, 'exit_z': 0.0}",0.395,0.0,0.0,0,0.0
RSI,HK.01810,1h,1,2025-07-09,2025-09-10,"{'rsi_period': 18, 'oversold': 14, 'overbought': 78}",0.395,0.034,0.52,1,0.264
RSI,HK.01810,1h,2,2025-10-08,2025-12-10,"{'rsi_period': 28, 'oversold': 15, 'overbought': 75}",0.547,0.0,0.0,0,0.0
RSI,HK.01810,1h,3,2026-01-07,2026-03-11,"{'rsi_period': 21, 'oversold': 20, 'overbought': 63}",0.408,-0.087,-1.175,1,0.266
RSI,HK.01810,1h,4,2026-04-08,2026-06-10,"{'rsi_period': 13, 'oversold': 10, 'overbought': 69}",0.128,0.0,0.0,0,0.0
Bollinger Bands,HK.01810,1h,1,2025-07-09,2025-09-10,"{'bb_period': 15, 'num_std': 3.0}",0.472,0.0,0.0,0,0.0
Bollinger Bands,HK.01810,1h,2,2025-10-08,2025-12-10,"{'bb_period': 8, 'num_std': 2.5}",0.192,0.0,0.0,0,0.0
Bollinger Bands,HK.01810,1h,3,2026-01-07,2026-03-11,"{'bb_period': 9, 'num_std': 2.5}",0.186,0.084,1.411,1,0.108
Bollinger Bands,HK.01810,1h,4,2026-04-08,2026-06-10,"{'bb_period': 25, 'num_std': 2.0}",-0.097,-0.256,-4.079,2,0.406
SMA Crossover,HK.01810,1h,1,2025-07-09,2025-09-10,"{'fast_period': 43, 'slow_period': 81}",0.304,0.0,0.0,0,0.0
SMA Crossover,HK.01810,1h,2,2025-10-08,2025-12-10,"{'fast_period': 30, 'slow_period': 181}",0.053,0.0,0.0,0,0.0
SMA Crossover,HK.01810,1h,3,2026-01-07,2026-03-11,"{'fast_period': 12, 'slow_period': 109}",0.007,0.0,0.0,0,0.0
SMA Crossover,HK.01810,1h,4,2026-04-08,2026-06-10,"{'fast_period': 9, 'slow_period': 121}",-0.063,0.0,0.0,0,0.0
MACD,HK.01810,1h,1,2025-07-09,2025-09-10,"{'fast_ema': 5, 'slow_ema': 93, 'signal_period': 14}",0.29,0.0,0.0,0,0.0
MACD,HK.01810,1h,2,2025-10-08,2025-12-10,"{'fast_ema': 9, 'slow_ema': 85, 'signal_period': 26}",0.212,0.0,0.0,0,0.0
MACD,HK.01810,1h,3,2026-01-07,2026-03-11,"{'fast_ema': 6, 'slow_ema': 69, 'signal_period': 9}",0.325,-0.216,-4.792,3,0.219
MACD,HK.01810,1h,4,2026-04-08,2026-06-10,"{'fast_ema': 4, 'slow_ema': 95, 'signal_period': 11}",-0.016,0.137,3.742,1,0.005
