strategy,symbol,timeframe,windows,avg_train_return_pct,avg_oos_return_pct,oos_consistency_pct,generalizes
Z-Score Mean Reversion,HK.09618,5m,3,0.444,-0.156,33.3,False
RSI,HK.09618,5m,3,0.668,-0.179,0.0,False
Bollinger Bands,HK.09618,5m,3,0.306,-0.122,0.0,False
SMA Crossover,HK.09618,5m,3,0.751,-0.129,33.3,False
MACD,HK.09618,5m,3,-0.696,-0.22,33.3,False
Z-Score Mean Reversion,HK.09618,1h,4,0.725,0.026,25.0,False
RSI,HK.09618,1h,4,0.967,0.0,0.0,False
Bollinger Bands,HK.09618,1h,4,0.946,0.208,50.0,True
SMA Crossover,HK.09618,1h,4,0.511,0.344,50.0,True
MACD,HK.09618,1h,4,0.595,0.186,50.0,True
