strategy,symbol,timeframe,window,train_start,test_start,best_params,train_return_pct,test_return_pct,test_sharpe,test_trades,test_max_dd
Z-Score Mean Reversion,HK.09888,5m,1,2026-01-08,2026-02-19,"{'lookback': 10, 'entry_z': 2.9, 'exit_z': 0.0}",0.269,-0.041,-0.735,8,0.31
Z-Score Mean Reversion,HK.09888,5m,2,2026-03-09,2026-04-20,"{'lookback': 72, 'entry_z': 2.7, 'exit_z': 0.0}",0.763,-0.174,-1.933,8,0.59
Z-Score Mean Reversion,HK.09888,5m,3,2026-05-08,2026-06-19,"{'lookback': 89, 'entry_z': 3.4, 'exit_z': 0.0}",0.068,0.0,0.0,0,0.0
RSI,HK.09888,5m,1,2026-01-08,2026-02-19,"{'rsi_period': 49, 'oversold': 24, 'overbought': 66}",0.81,-0.07,-0.753,2,0.739
RSI,HK.09888,5m,2,2026-03-09,2026-04-20,"{'rsi_period': 36, 'oversold': 25, 'overbought': 69}",1.066,0.528,4.621,2,0.39
RSI,HK.09888,5m,3,2026-05-08,2026-06-19,"{'rsi_period': 28, 'oversold': 23, 'overbought': 60}",0.615,0.439,2.495,4,0.545
Bollinger Bands,HK.09888,5m,1,2026-01-08,2026-02-19,"{'bb_period': 43, 'num_std': 2.0}",0.833,-0.467,-2.23,12,1.229
Bollinger Bands,HK.09888,5m,2,2026-03-09,2026-04-20,"{'bb_period': 11, 'num_std': 2.5}",1.018,-0.223,-1.371,6,1.028
Bollinger Bands,HK.09888,5m,3,2026-05-08,2026-06-19,"{'bb_period': 34, 'num_std': 3.0}",0.796,0.319,1.773,4,0.647
SMA Crossover,HK.09888,5m,1,2026-01-08,2026-02-19,"{'fast_period': 31, 'slow_period': 129}",-0.199,-0.594,-3.369,3,0.948
SMA Crossover,HK.09888,5m,2,2026-03-09,2026-04-20,"{'fast_period': 47, 'slow_period': 161}",0.792,2.292,8.661,3,0.559
SMA Crossover,HK.09888,5m,3,2026-05-08,2026-06-19,"{'fast_period': 37, 'slow_period': 57}",-1.076,-0.612,-5.065,11,1.077
MACD,HK.09888,5m,1,2026-01-08,2026-02-19,"{'fast_ema': 48, 'slow_ema': 100, 'signal_period': 30}",-1.345,-0.821,-4.919,15,1.514
