symbol,strategy,avg_train_return_pct,avg_oos_return_pct,oos_consistency_pct,latest_params
HK.00700,HMM Regime Switch,4.392,1.201,33.3,"{'n_states': 2, 'trend_score': 0.1, 'min_dwell': 1, 'vol_feature': 1}"
HK.00700,Regime Switch,2.997,0.379,33.3,"{'regime_lookback': 45, 'er_threshold': 0.5}"
HK.00005,HMM Regime Switch,0.703,-0.0,33.3,"{'n_states': 3, 'trend_score': 0.06, 'min_dwell': 1, 'vol_feature': 1}"
HK.00005,Regime Switch,0.843,-0.385,33.3,"{'regime_lookback': 40, 'er_threshold': 0.35}"
HK.09988,HMM Regime Switch,2.562,-0.111,0.0,"{'n_states': 2, 'trend_score': 0.06, 'min_dwell': 3, 'vol_feature': 0}"
HK.09988,Regime Switch,2.033,-0.721,0.0,"{'regime_lookback': 25, 'er_threshold': 0.6}"
HK.03690,HMM Regime Switch,0.166,-0.042,0.0,"{'n_states': 2, 'trend_score': 0.06, 'min_dwell': 3, 'vol_feature': 0}"
HK.03690,Regime Switch,0.307,-0.126,0.0,"{'regime_lookback': 35, 'er_threshold': 0.15}"
HK.01299,HMM Regime Switch,0.095,-0.066,33.3,"{'n_states': 3, 'trend_score': 0.06, 'min_dwell': 1, 'vol_feature': 0}"
HK.01299,Regime Switch,0.187,0.088,66.7,"{'regime_lookback': 45, 'er_threshold': 0.15}"
HK.00941,HMM Regime Switch,0.214,0.024,33.3,"{'n_states': 2, 'trend_score': 0.02, 'min_dwell': 1, 'vol_feature': 0}"
HK.00941,Regime Switch,0.359,0.025,33.3,"{'regime_lookback': 10, 'er_threshold': 0.2}"
HK.02318,HMM Regime Switch,0.061,-0.049,0.0,"{'n_states': 2, 'trend_score': 0.02, 'min_dwell': 3, 'vol_feature': 0}"
HK.02318,Regime Switch,0.247,-0.033,0.0,"{'regime_lookback': 20, 'er_threshold': 0.45}"
HK.01211,HMM Regime Switch,0.13,-0.101,33.3,"{'n_states': 2, 'trend_score': 0.02, 'min_dwell': 3, 'vol_feature': 1}"
HK.01211,Regime Switch,0.211,-0.329,0.0,"{'regime_lookback': 10, 'er_threshold': 0.6}"
HK.01810,HMM Regime Switch,0.242,-0.019,0.0,"{'n_states': 3, 'trend_score': 0.06, 'min_dwell': 1, 'vol_feature': 1}"
HK.01810,Regime Switch,0.357,0.009,33.3,"{'regime_lookback': 30, 'er_threshold': 0.15}"
HK.09618,HMM Regime Switch,0.769,0.043,33.3,"{'n_states': 2, 'trend_score': 0.06, 'min_dwell': 1, 'vol_feature': 0}"
HK.09618,Regime Switch,0.803,-0.071,33.3,"{'regime_lookback': 20, 'er_threshold': 0.3}"
HK.09888,HMM Regime Switch,1.663,-0.368,0.0,"{'n_states': 2, 'trend_score': 0.02, 'min_dwell': 3, 'vol_feature': 0}"
HK.09888,Regime Switch,1.803,0.202,66.7,"{'regime_lookback': 25, 'er_threshold': 0.35}"
