strategy,symbol,timeframe,window,train_start,test_start,best_params,train_return_pct,test_return_pct,test_sharpe,test_trades,test_max_dd
Z-Score Mean Reversion,HK.00005,5m,1,2026-01-08,2026-02-19,"{'lookback': 98, 'entry_z': 2.5, 'exit_z': 0.0}",0.637,-0.484,-2.334,6,1.448
Z-Score Mean Reversion,HK.00005,5m,2,2026-03-09,2026-04-20,"{'lookback': 89, 'entry_z': 3.4, 'exit_z': 0.0}",0.147,0.092,1.265,2,0.2
Z-Score Mean Reversion,HK.00005,5m,3,2026-05-08,2026-06-19,"{'lookback': 89, 'entry_z': 3.4, 'exit_z': 0.0}",-0.184,0.0,0.0,0,0.0
RSI,HK.00005,5m,1,2026-01-08,2026-02-19,"{'rsi_period': 18, 'oversold': 14, 'overbought': 78}",0.728,-0.809,-4.718,4,1.339
RSI,HK.00005,5m,2,2026-03-09,2026-04-20,"{'rsi_period': 39, 'oversold': 38, 'overbought': 75}",1.377,-0.098,-0.406,5,0.798
RSI,HK.00005,5m,3,2026-05-08,2026-06-19,"{'rsi_period': 47, 'oversold': 17, 'overbought': 93}",1.472,0.0,0.0,0,0.0
Bollinger Bands,HK.00005,5m,1,2026-01-08,2026-02-19,"{'bb_period': 12, 'num_std': 3.0}",0.492,-0.377,-1.374,6,1.475
Bollinger Bands,HK.00005,5m,2,2026-03-09,2026-04-20,"{'bb_period': 7, 'num_std': 2.5}",0.361,0.0,0.0,0,0.0
Bollinger Bands,HK.00005,5m,3,2026-05-08,2026-06-19,"{'bb_period': 8, 'num_std': 3.0}",0.289,0.0,0.0,0,0.0
SMA Crossover,HK.00005,5m,1,2026-01-08,2026-02-19,"{'fast_period': 28, 'slow_period': 141}",0.862,-0.097,-0.314,5,1.392
SMA Crossover,HK.00005,5m,2,2026-03-09,2026-04-20,"{'fast_period': 36, 'slow_period': 157}",1.394,-0.817,-6.856,6,0.986
SMA Crossover,HK.00005,5m,3,2026-05-08,2026-06-19,"{'fast_period': 22, 'slow_period': 21}",1.069,0.599,7.723,1,0.439
